"Pokemon1","Pokemon2","Distance","weight","percentile"
"Shaymin","Sylveon",0.106978921982734,2,0
"Clefable","Rotom-Heat",0.106996967476884,2,6.79569424812439e-06
"Lopunny-Mega","Primarina",0.107795870747494,3,1.35913884962488e-05
"Crobat","Shaymin",0.107972002148714,4,2.03870827443732e-05
"Amoonguss","Clefable",0.108050820420221,2,2.71827769924976e-05
"Clefable","Tapu_Koko",0.109753599170309,0,3.39784712406219e-05
"Amoonguss","Tapu_Koko",0.110203866873927,1,4.07741654887463e-05
"Tangrowth","Tapu_Koko",0.110245524103779,2,4.75698597368707e-05
"Jirachi","Lopunny-Mega",0.110393940768676,1,5.43655539849951e-05
"Rotom-Heat","Sylveon",0.111322827849376,2,6.11612482331195e-05
"Jolteon","Tornadus-Therian",0.111467782987139,4,6.79569424812439e-05
"Celesteela","Sylveon",0.111577236293734,3,7.47526367293683e-05
"Scizor-Mega","Tapu_Koko",0.111620346629839,5,8.15483309774927e-05
"Landorus-Therian","Vikavolt",0.111798101112461,2,8.8344025225617e-05
"Mamoswine","Shaymin",0.111800039549271,2,9.51397194737414e-05
"Amoonguss","Kyurem",0.111801327327948,2,0.000101935413721866
"Tapu_Koko","Tornadus-Therian",0.111878614388955,1,0.00010873110796999
"Serperior","Tapu_Koko",0.111890539661694,2,0.000115526802218115
"Hydreigon","Tapu_Koko",0.111998367934232,2,0.000122322496466239
"Clefable","Mamoswine",0.112175223360143,3,0.000129118190714363
"Mienshao","Tornadus-Therian",0.112261555665621,2,0.000135913884962488
"Clefable","Lopunny-Mega",0.112331572613903,2,0.000142709579210612
"Clefable","Hydreigon",0.112408052525399,2,0.000149505273458737
"Jolteon","Rotom-Heat",0.112434266390902,0,0.000156300967706861
"Mamoswine","Sylveon",0.113018132641474,2,0.000163096661954985
"Scizor-Mega","Zygarde",0.113134324762903,4,0.00016989235620311
"Clefable","Kyurem",0.113270887769087,3,0.000176688050451234
"Clefable","Shaymin",0.113295330118854,1,0.000183483744699358
"Gengar","Tapu_Koko",0.113558369986893,2,0.000190279438947483
"Mamoswine","Rotom-Heat",0.113876360635909,2,0.000197075133195607
