Pokemon,EigenCentrality,Betweenness,Core
Tapu_Koko,1,0.10283134342314695,6
Scizor-Mega,0.9634684575003094,0.045404724755453256,6
Empoleon,0.9123398412338108,0.051413079083306036,6
Zygarde,0.8776334315708578,0.05783696635702213,6
Tsareena,0.8514546029710183,0.049102875607780684,6
Hydreigon,0.809467778870326,0.026063297825647615,6
Togekiss,0.7985980920374292,0.05870181789813761,6
Garchomp,0.7980129569504224,0.026756442626878575,6
Lopunny-Mega,0.706331612465359,0.03724519526748586,6
Tornadus-Therian,0.7020586905925458,0.050174520778804736,6
Mamoswine,0.6766128672132133,0.021027962693661882,6
Rotom-Heat,0.6684115073760815,0.06033055262172349,6
Clefable,0.6592873927709793,0.022682967132087676,6
Incineroar,0.6492300348922453,0.028405360970520318,6
Jirachi,0.6346453494369897,0.022200333039422836,6
Infernape,0.6295436885927087,0.0400905775811447,6
Gallade-Mega,0.620344147923047,0.02308815711033162,6
Mew,0.6113661099408721,0.030262991138361194,6
Jolteon,0.6054329553293271,0.03265504245651687,6
Diancie-Mega,0.5996011815327155,0.04431949097880484,6
Landorus-Therian,0.5887600464037019,0.012686749267407541,6
Crobat,0.5803579185335846,0.029095264268248537,6
Snorlax,0.5558825868547872,0.010430101879570735,6
Shaymin,0.541637100597126,0.023941385921127014,6
Weezing,0.5415646309683252,0.006773328320898995,6
Rotom-Wash,0.5403856557136124,0.026357258577029873,6
Kyurem,0.5367500820347463,0.02829781923646205,6
Celesteela,0.5334037305519695,0.03169871419276423,6
Silvally,0.5240577588863856,0.025561642122854174,6
Vikavolt,0.5236749547353031,0.027998978805851747,6
Donphan,0.5131437535943117,0.028493914331552943,6
Aromatisse,0.5113542698941151,0.010993634275401266,6
Sylveon,0.5085039358806325,0.02912026109332662,6
Rotom,0.48838134640608394,0.006921927649564502,6
Ribombee,0.48659489924447863,0.022346259868753642,6
Arcanine,0.4759047328461762,0.017657221360710063,6
Lickilicky,0.4752489004032607,0.015489571068023497,6
Muk-Alola,0.4684438368346799,0.010749932158186643,6
Tangrowth,0.46831389699971837,0.00910999330921547,6
Haxorus,0.4675271523895171,0.021892758123674708,6
Zeraora,0.4556126309927492,0.0172094423574658,6
Moltres,0.4547113308543315,0.016966760066255037,6
Decidueye,0.4507104077993763,0.013734638286214301,6
Gliscor,0.44250338341141543,0.011432949630256182,6
Aggron-Mega,0.4418239455231517,0.016305737609504954,6
Amoonguss,0.43798528542163856,0.013185551895135697,6
Hitmontop,0.4237900694651344,0.01999367763720233,6
Nidoking,0.4167975442759105,0.019393255600952817,6
Greninja,0.4162731883321315,0.02153546957633565,6
Skarmory,0.4105298323002054,0.010714347141177114,6
Primarina,0.40408569592756033,0.010147654052570756,6
Vaporeon,0.39698497772427466,0.014167175742029173,6
Dragapult,0.3908519994777395,0.04361614190371373,6
Raikou,0.3846863915394865,0.008361667883058732,6
Krookodile,0.3707259325009671,0.006523134498115632,6
Mesprit,0.3674115035375058,0.004148058157752242,6
Piloswine,0.36529204918440383,0.0029804174141551515,6
Milotic,0.36385356314728334,0.013827059232527396,6
Cofagrigus,0.3539107637749383,0.004566705457748585,6
Venusaur-Mega,0.3520640812422745,0.02941483933531302,6
Gengar,0.34813310312485185,0.009478338267448382,6
Cobalion,0.33697716635046077,0.004562866277035893,6
Florges,0.3364291745029376,0.020226854116968465,6
Uxie,0.3251840586674526,0.003170717923721928,6
Cryogonal,0.3181959769470849,0.04072360263803927,6
Gurdurr,0.31500945352057597,0.0031486119211782413,6
Corviknight,0.288669267603937,0.009375402154179655,6
Darmanitan,0.28592885433727655,0.020128252734045962,6
Scolipede,0.2575624319503298,0.004585493012090794,6
Reuniclus,0.2571077168993118,0.005629852776773307,6
Druddigon,0.24531157595772005,0.015664571395400905,6
Mismagius,0.24189458176044654,0.0011256017147931003,6
Nidoqueen,0.2395474189312268,0.004925078318588506,6
Tapu_Fini,0.23850560888462838,0.001566962520697936,6
Dracovish,0.23666796071272264,0.0014363142882327883,6
Porygon-Z,0.2168797835139028,0.006579695402473599,6
Raichu-Alola,0.42443744960648305,6.288578007391497e-5,5
Nihilego,0.37755452436931447,0.009790486694474618,5
Porygon2,0.3044961827744071,0.007957731625520562,5
Tornadus,0.2708865612303253,2.4670575259766643e-4,5
Latias-Mega,0.2679077732188578,0.007502918545177787,5
Gardevoir-Mega,0.2629410866951079,0.008372377801181425,5
Victini,0.2624760308007445,0.019929940257043057,5
Accelgor,0.2575306171790544,3.457105448165993e-4,5
Golurk,0.2556855145469337,8.771760092361474e-5,5
Heatran,0.2539334763346228,0.0174589723510023,5
Slowking,0.24610994808267314,0.01995589843444954,5
Gligar,0.23809646586194477,0.013311846067113964,5
Rhydon,0.2377871638098107,4.088036406489997e-4,5
Drapion,0.23445023658939473,0.007938765374767,5
Persian-Alola,0.23172906563866327,0.002999620996080042,5
Bronzong,0.23049419213666808,8.145457091878406e-4,5
Umbreon,0.22798020145196665,0.008304378232398204,5
Latios-Mega,0.22730703864098387,6.612911993999821e-4,5
Manectric-Mega,0.225767833332995,0.00444953366239719,5
Archeops,0.22451529854189228,6.814392197801962e-4,5
Galvantula,0.22048979818513453,0.015099183628236857,5
Talonflame,0.2063697458237389,0.0019096852701078629,5
Aerodactyl-Mega,0.20556561729618675,2.0703933747412008e-4,5
Rotom-Mow,0.20402191699140312,5.055279595245928e-4,5
Melmetal,0.20222947552357387,0.0013980453348886625,5
Excadrill,0.20012784066245864,0.02673151028929747,5
Mienshao,0.19931167675157857,0.011248225705182816,5
Goodra,0.19689370372527612,0.0037959285027840193,5
Serperior,0.19407214552625796,0.02680757981593878,5
Alomomola,0.19031979060749435,0.013263255999948405,5
Mimikyu,0.18390084995413444,0.011082527363655822,5
Volbeat,0.1820398186065555,0.00151861096599008,5
Toxapex,0.1805465581238635,0.004052474424564747,5
Swampert,0.17362521399144196,0.001399888141630755,5
Ninetales-Alola,0.17050361663823196,0.005044608068930353,5
Miltank,0.16789350746051176,0.014158591333955589,5
Noivern,0.16568470543524583,0.002721553325256814,5
Araquanid,0.16056006111912247,0.0011396922060415413,5
Comfey,0.159300991986305,6.282435318251189e-4,5
Registeel,0.1576040548096218,0.005968136950025845,5
Urshifu,0.15251307131403277,9.937335356735137e-5,5
Zapdos,0.15213418256172723,0.0041870907590417636,5
Azelf,0.15070235877347604,0.0018840395429470713,5
Starmie,0.14692288576022441,0.006965932338893391,5
Ferrothorn,0.13894489705814775,6.270303507199078e-4,5
Suicune,0.1333254747083965,0.00737290992558886,5
Pidgeot-Mega,0.1327722356977253,0.011472294252232722,5
Forretress,0.12846756321011554,0.007837088512772034,5
Zygarde-10,0.09404192666274815,0.007613909957614611,5
Beedrill-Mega,0.08675104824840589,6.563630874305979e-4,5
Minior,0.08654695614460614,0.003112458705423238,5
Malamar,0.07998327666520338,0.003733442695537082,5
Blastoise-Mega,0.21483750358680972,0.0018790486080205707,4
Buzzwole,0.18951088022932394,0.016328903225925322,4
Dugtrio,0.183033272958205,0.0020093273663251026,4
Golbat,0.1820992942066892,5.333773764144694e-4,4
Cloyster,0.18163203943740397,7.023857897486504e-4,4
Rotom-Frost,0.1811908187823854,0,4
Slowbro,0.16685433289823412,0.0059174827997025715,4
Dhelmise,0.16358267866965423,0.0015795631950505117,4
Charizard-Mega-X,0.16165636738404207,0.0024416728631043378,4
Ditto,0.15067228869729524,2.6121785569164683e-4,4
Necrozma,0.144640086058904,0.002896124362427258,4
Grimmsnarl,0.14348700323213004,0.013311145940158546,4
Tapu_Bulu,0.13907624419164338,0.005945286146423897,4
Blissey,0.13329349470091945,0.012873847900259928,4
Hoopa-Unbound,0.1307762080412902,0.0014143430060304736,4
Slowking-Galar,0.12807887322105257,0.009720298792685163,4
