"","Poke.x","Poke.y","weight","d.x","m.x","s.x","d.y","m.y","s.y","z.x","z.y"
"1","Absol-Mega","Annihilape",2,75,1.05333333333333,0.226210457696304,48,1.04166666666667,0.201940936523459,4.18489346738162,4.74561200830128
"2","Absol-Mega","Tapu_Koko",2,75,1.05333333333333,0.226210457696304,152,1.29605263157895,0.649389073974149,4.18489346738162,1.08401480196305
"3","Absol-Mega","Victini",2,75,1.05333333333333,0.226210457696304,84,1.19047619047619,0.395035166230561,4.18489346738162,2.04924492482103
"4","Absol-Mega","Weezing",2,75,1.05333333333333,0.226210457696304,75,1.18666666666667,0.45599114895788,4.18489346738162,1.7836603521628
"5","Accelgor","Clefable",2,34,1.17647058823529,0.458626951810419,126,1.17460317460317,0.439624659533381,1.79564111641028,1.8775034736971
"6","Accelgor","Hydreigon",2,34,1.17647058823529,0.458626951810419,104,1.23076923076923,0.466983071370874,1.79564111641028,1.64723480654795
"7","Accelgor","Mew",2,34,1.17647058823529,0.458626951810419,102,1.24509803921569,0.570500466583818,1.79564111641028,1.32322759577166
"8","Accelgor","Rotom-Wash",3,34,1.17647058823529,0.458626951810419,93,1.24731182795699,0.583391768929105,3.97606247205134,3.0043073375209
"9","Accelgor","Snorlax",2,34,1.17647058823529,0.458626951810419,83,1.19277108433735,0.505043618625821,1.79564111641028,1.59833504650361
"10","Aegislash","Suicune",2,37,1.05405405405405,0.229243435135126,70,1.14285714285714,0.352453688425121,4.12638183243226,2.43193045013333
"11","Aegislash","Tsareena",2,37,1.05405405405405,0.229243435135126,98,1.31632653061224,0.667306306512647,4.12638183243226,1.02452721144004
"12","Aerodactyl-Mega","Druddigon",2,44,1.11363636363636,0.321038220640551,77,1.15584415584416,0.399504135573584,2.76092869750873,2.1130090254106
"13","Aerodactyl-Mega","Lickilicky",2,44,1.11363636363636,0.321038220640551,71,1.25352112676056,0.553387228391914,2.76092869750873,1.34892681822207
"14","Aerodactyl-Mega","Mew",2,44,1.11363636363636,0.321038220640551,102,1.24509803921569,0.570500466583818,2.76092869750873,1.32322759577166
"15","Aerodactyl-Mega","Weezing",2,44,1.11363636363636,0.321038220640551,75,1.18666666666667,0.45599114895788,2.76092869750873,1.7836603521628
"16","Aerodactyl-Mega","Zygarde",2,44,1.11363636363636,0.321038220640551,111,1.32432432432432,0.689692450064284,2.76092869750873,0.979676775659495
"17","Aggron-Mega","Cinccino",2,91,1.17582417582418,0.410782629552868,48,1.04166666666667,0.201940936523459,2.00635510092754,4.74561200830128
"18","Aggron-Mega","Cloyster",2,91,1.17582417582418,0.410782629552868,55,1.09090909090909,0.348155311911396,2.00635510092754,2.61116483933547
"19","Aggron-Mega","Comfey",2,91,1.17582417582418,0.410782629552868,34,1.14705882352941,0.359490627953571,2.00635510092754,2.37263814449357
"20","Aggron-Mega","Crobat",3,91,1.17582417582418,0.410782629552868,103,1.25242718446602,0.55516199017241,4.44073262338628,3.14786106842664
"21","Aggron-Mega","Druddigon",2,91,1.17582417582418,0.410782629552868,77,1.15584415584416,0.399504135573584,2.00635510092754,2.1130090254106
"22","Aggron-Mega","Greninja",2,91,1.17582417582418,0.410782629552868,82,1.19512195121951,0.482765295587107,2.00635510092754,1.66722433476012
"23","Aggron-Mega","Infernape",2,91,1.17582417582418,0.410782629552868,105,1.21904761904762,0.43811116390865,2.00635510092754,1.78254389590313
"24","Aggron-Mega","Kyurem-Black",2,91,1.17582417582418,0.410782629552868,47,1.06382978723404,0.247092248145166,2.00635510092754,3.78874780489254
"25","Aggron-Mega","Lickilicky",2,91,1.17582417582418,0.410782629552868,71,1.25352112676056,0.553387228391914,2.00635510092754,1.34892681822207
"26","Aggron-Mega","Raichu-Alola",2,91,1.17582417582418,0.410782629552868,48,1.25,0.757936728959867,2.00635510092754,0.98952850725316
"27","Aggron-Mega","Shaymin",2,91,1.17582417582418,0.410782629552868,110,1.17272727272727,0.446373581743737,2.00635510092754,1.85331919519302
"28","Aggron-Mega","Sylveon",2,91,1.17582417582418,0.410782629552868,109,1.1743119266055,0.404695511905481,2.00635510092754,2.04026990441975
"29","Aggron-Mega","Tapu_Bulu",2,91,1.17582417582418,0.410782629552868,71,1.09859154929577,0.344546475300287,2.00635510092754,2.61621730397506
"30","Aggron-Mega","Tapu_Koko",2,91,1.17582417582418,0.410782629552868,152,1.29605263157895,0.649389073974149,2.00635510092754,1.08401480196305
"31","Aggron-Mega","Zapdos",2,91,1.17582417582418,0.410782629552868,79,1.10126582278481,0.303608076851989,2.00635510092754,2.96017874930689
"32","Alcremie","Archaludon",2,19,1.05263157894737,0.229415733870562,35,1.08571428571429,0.284028640998691,4.12948320967011,3.21899126465182
"33","Alomomola","Amoonguss",2,69,1.14492753623188,0.393900641355173,114,1.14035087719298,0.373388999332107,2.17078210592989,2.30228829543639
"34","Alomomola","Chandelure",2,69,1.14492753623188,0.393900641355173,58,1.03448275862069,0.18405922400992,2.17078210592989,5.2456878842827
"35","Alomomola","Drapion",2,69,1.14492753623188,0.393900641355173,51,1.17647058823529,0.477739776570516,2.17078210592989,1.72380331752248
"36","Alomomola","Eldegoss",2,69,1.14492753623188,0.393900641355173,28,1.03571428571429,0.188982236504614,2.17078210592989,5.10252038562456
"37","Alomomola","Gengar",2,69,1.14492753623188,0.393900641355173,98,1.10204081632653,0.304258297699364,2.17078210592989,2.95130548768382
"38","Alomomola","Grimmsnarl",2,69,1.14492753623188,0.393900641355173,70,1.12857142857143,0.377690486403442,2.17078210592989,2.30725581606979
"39","Alomomola","Jolteon",2,69,1.14492753623188,0.393900641355173,114,1.21929824561404,0.52812528564918,2.17078210592989,1.47825104307648
"40","Alomomola","Miltank",3,69,1.14492753623188,0.393900641355173,61,1.14754098360656,0.441061808736239,4.70949338235636,4.19999868431419
"41","Alomomola","Ribombee",2,69,1.14492753623188,0.393900641355173,86,1.27906976744186,0.545595471576379,2.17078210592989,1.32136403272404
"42","Altaria-Mega","Cryogonal",2,39,1.02564102564103,0.160128153805087,113,1.15044247787611,0.427226080540275,6.08486984459331,1.98854321124201
"43","Ambipom","Blastoise-Mega",2,45,1.06666666666667,0.252262489554756,63,1.0952380952381,0.295901341136933,3.6998498468031,3.05764719174832
"44","Ambipom","Krookodile",2,45,1.06666666666667,0.252262489554756,87,1.13793103448276,0.346826603453182,3.6998498468031,2.48559065808114
"45","Ambipom","Nidoking",2,45,1.06666666666667,0.252262489554756,84,1.19047619047619,0.477851377716244,3.6998498468031,1.69409119084829
