"","Poke.x","Poke.y","weight"
"1","Abomasnow","Alakazam-Mega",1
"2","Abomasnow","Amoonguss",1
"3","Abomasnow","Gliscor",1
"4","Abomasnow","Incineroar",1
"5","Abomasnow","Kommo-o",1
"6","Abomasnow","Melmetal",1
"7","Abomasnow","Mimikyu",1
"8","Abomasnow","Ribombee",1
"9","Abomasnow","Scyther",1
"10","Abomasnow","Seismitoad",1
"11","Abomasnow-Mega","Accelgor",1
"12","Abomasnow-Mega","Chandelure",1
"13","Abomasnow-Mega","Clefable",1
"14","Abomasnow-Mega","Ditto",1
"15","Abomasnow-Mega","Dugtrio",1
"16","Abomasnow-Mega","Hydreigon",1
"17","Abomasnow-Mega","Metagross",1
"18","Abomasnow-Mega","Tentacruel",1
"19","Abomasnow-Mega","Thundurus",1
"20","Abomasnow-Mega","Walrein",1
"21","Absol-Mega","Alakazam",1
"22","Absol-Mega","Annihilape",2
"23","Absol-Mega","Araquanid",1
"24","Absol-Mega","Azelf",1
"25","Absol-Mega","Breloom",1
"26","Absol-Mega","Charizard",1
"27","Absol-Mega","Claydol",1
"28","Absol-Mega","Corviknight",1
"29","Absol-Mega","Cyclizar",1
"30","Absol-Mega","Darmanitan",1
"31","Absol-Mega","Deoxys-Defense",1
"32","Absol-Mega","Deoxys-Speed",1
"33","Absol-Mega","Dewgong",1
"34","Absol-Mega","Dhelmise",1
"35","Absol-Mega","Dragalge",1
"36","Absol-Mega","Dragonite",1
"37","Absol-Mega","Drampa",1
"38","Absol-Mega","Emboar",1
"39","Absol-Mega","Excadrill",1
"40","Absol-Mega","Ferrothorn",1
"41","Absol-Mega","Florges",1
"42","Absol-Mega","Froslass",1
"43","Absol-Mega","Galvantula",1
"44","Absol-Mega","Garchomp",1
"45","Absol-Mega","Gengar",1
"46","Absol-Mega","Gligar",1
"47","Absol-Mega","Glimmora",1
"48","Absol-Mega","Grafaiai",1
"49","Absol-Mega","Granbull",1
"50","Absol-Mega","Great_Tusk",1
"51","Absol-Mega","Grimmsnarl",1
"52","Absol-Mega","Jellicent",1
"53","Absol-Mega","Kecleon",1
"54","Absol-Mega","Klefki",1
"55","Absol-Mega","Komala",1
"56","Absol-Mega","Kyurem",1
"57","Absol-Mega","Kyurem-Black",1
"58","Absol-Mega","Latias",1
"59","Absol-Mega","Latios",1
"60","Absol-Mega","Leavanny",1
"61","Absol-Mega","Lucario",1
"62","Absol-Mega","Lycanroc-Night",1
"63","Absol-Mega","Magneton",1
"64","Absol-Mega","Meowscarada",1
"65","Absol-Mega","Musharna",1
"66","Absol-Mega","Nidoking",1
"67","Absol-Mega","Nidoqueen",1
"68","Absol-Mega","Pangoro",1
"69","Absol-Mega","Raging_Bolt",1
"70","Absol-Mega","Regigigas",1
"71","Absol-Mega","Registeel",1
"72","Absol-Mega","Rotom-Heat",1
"73","Absol-Mega","Samurott",1
"74","Absol-Mega","Sandy_Shocks",1
"75","Absol-Mega","Serperior",1
"76","Absol-Mega","Skarmory",1
"77","Absol-Mega","Snorlax",1
"78","Absol-Mega","Starmie",1
"79","Absol-Mega","Stoutland",1
"80","Absol-Mega","Swampert",1
"81","Absol-Mega","Sylveon",1
"82","Absol-Mega","Tangrowth",1
"83","Absol-Mega","Tapu_Koko",2
"84","Absol-Mega","Tapu_Lele",1
"85","Absol-Mega","Terrakion",1
"86","Absol-Mega","Thundurus-Therian",1
"87","Absol-Mega","Tornadus-Therian",1
"88","Absol-Mega","Toxtricity",1
"89","Absol-Mega","Tropius",1
"90","Absol-Mega","Tsareena",1
"91","Absol-Mega","Vaporeon",1
"92","Absol-Mega","Victini",2
"93","Absol-Mega","Volcanion",1
"94","Absol-Mega","Weezing",2
"95","Absol-Mega","Zapdos",1
"96","Accelgor","Abomasnow-Mega",1
"97","Accelgor","Bronzong",1
"98","Accelgor","Chandelure",1
"99","Accelgor","Charizard-Mega-X",1
"100","Accelgor","Clefable",2
"101","Accelgor","Crobat",1
"102","Accelgor","Ditto",1
"103","Accelgor","Dugtrio",1
"104","Accelgor","Empoleon",1
"105","Accelgor","Gallade-Mega",1
"106","Accelgor","Hydreigon",2
"107","Accelgor","Incineroar",1
"108","Accelgor","Landorus-Therian",1
"109","Accelgor","Leafeon",1
"110","Accelgor","Lopunny-Mega",1
"111","Accelgor","Lucario",1
"112","Accelgor","Mamoswine",1
"113","Accelgor","Metagross",1
"114","Accelgor","Mew",2
"115","Accelgor","Mimikyu",1
"116","Accelgor","Muk-Alola",1
"117","Accelgor","Persian-Alola",1
"118","Accelgor","Piloswine",1
"119","Accelgor","Rotom-Wash",3
"120","Accelgor","Snorlax",2
"121","Accelgor","Swellow",1
"122","Accelgor","Tangela",1
"123","Accelgor","Tentacruel",1
"124","Accelgor","Thundurus",1
"125","Accelgor","Vikavolt",1
"126","Accelgor","Walrein",1
"127","Accelgor","Weezing",1
"128","Accelgor","Whimsicott",1
"129","Accelgor","Zygarde",1
"130","Aegislash","Alakazam-Mega",1
"131","Aegislash","Avalugg",1
"132","Aegislash","Crabominable",1
"133","Aegislash","Crustle",1
"134","Aegislash","Dragonite",1
"135","Aegislash","Electrode",1
"136","Aegislash","Empoleon",1
"137","Aegislash","Garganacl",1
"138","Aegislash","Gurdurr",1
"139","Aegislash","Hydreigon",1
"140","Aegislash","Infernape",1
"141","Aegislash","Iron_Treads",1
"142","Aegislash","Kangaskhan",1
"143","Aegislash","Latias",1
"144","Aegislash","Lopunny-Mega",1
"145","Aegislash","Malamar",1
"146","Aegislash","Mamoswine",1
"147","Aegislash","Manectric-Mega",1
"148","Aegislash","Minior",1
"149","Aegislash","Moltres",1
"150","Aegislash","Muk",1
"151","Aegislash","Orbeetle",1
"152","Aegislash","Primarina",1
"153","Aegislash","Sandy_Shocks",1
"154","Aegislash","Silvally",1
"155","Aegislash","Slurpuff",1
"156","Aegislash","Sneasel",1
"157","Aegislash","Suicune",2
"158","Aegislash","Talonflame",1
"159","Aegislash","Tangrowth",1
"160","Aegislash","Togekiss",1
"161","Aegislash","Tornadus",1
"162","Aegislash","Tsareena",2
"163","Aegislash","Venusaur-Mega",1
"164","Aegislash","Victini",1
"165","Aegislash","Weezing-Galar",1
"166","Aegislash","Zygarde-10",1
"167","Aerodactyl","Audino-Mega",1
"168","Aerodactyl","Blissey",1
"169","Aerodactyl","Bronzong",1
"170","Aerodactyl","Delphox",1
"171","Aerodactyl","Dusknoir",1
"172","Aerodactyl","Forretress",1
"173","Aerodactyl","Great_Tusk",1
"174","Aerodactyl","Heatran",1
"175","Aerodactyl","Krookodile",1
"176","Aerodactyl","Medicham-Mega",1
"177","Aerodactyl","Primarina",1
"178","Aerodactyl","Roserade",1
"179","Aerodactyl","Rotom",1
"180","Aerodactyl","Scovillain",1
"181","Aerodactyl","Torkoal",1
"182","Aerodactyl","Tyrantrum",1
"183","Aerodactyl","Umbreon",1
"184","Aerodactyl","Venusaur",1
"185","Aerodactyl","Walking_Wake",1
"186","Aerodactyl","Xurkitree",1
"187","Aerodactyl-Mega","Blissey",1
"188","Aerodactyl-Mega","Breloom",1
"189","Aerodactyl-Mega","Cinderace",1
"190","Aerodactyl-Mega","Cobalion",1
"191","Aerodactyl-Mega","Dhelmise",1
