anchor,sidekick,co_drafts,anchor_draft_seasons,sidekick_draft_seasons,p_anchor_given_sidekick,p_sidekick_given_anchor,asymmetry,chemistry_z,expected_co_drafts_season_random,same_season_drafts,pair_seasons,pair_team_names
Tapu_Koko,Naclstack,2,16,2,1.0,0.125,0.875,4.92394628314809,0.15240855981711965,2,S15; S16,Oricorios; Zeraora
Zygarde,Yanmega,2,16,2,1.0,0.125,0.875,4.919349550499538,0.15267175572519084,2,S3; S9,Poggers; Regiskins
Rotom-Heat,Purugly,2,15,2,1.0,0.13333333333333333,0.8666666666666667,4.670669315550932,0.1680789971286505,2,S1; S2,Patrats
Tornadus-Therian,Grafaiai,2,14,2,1.0,0.14285714285714285,0.8571428571428572,4.924494433364483,0.15237720579970776,2,S18; S19,Murkrows; Zeraora
Togekiss,Electivire,2,14,2,1.0,0.14285714285714285,0.8571428571428572,4.9196708269316325,0.15265333818005572,2,S13; S20,Aggies; Poggers Patrol
Rotom-Wash,Goodra-Hisui,2,13,2,1.0,0.15384615384615385,0.8461538461538461,4.924428900898052,0.1523809523809524,2,S14; S19,Charizards; Metapods
Gliscor,Qwilfish,2,13,2,1.0,0.15384615384615385,0.8461538461538461,4.919349550499538,0.15267175572519084,2,S3; S8,Politoeds; Seadras
Donphan,Kleavor,2,11,2,1.0,0.18181818181818182,0.8181818181818181,4.92394628314809,0.15240855981711965,2,S15; S16,Aggies; Metapods
Arcanine,Rotom-Fan,2,11,2,1.0,0.18181818181818182,0.8181818181818181,4.670669315550932,0.1680789971286505,2,S1; S11,Shaymins; Zeraora
Serperior,Charizard,2,11,2,1.0,0.18181818181818182,0.8181818181818181,4.670669315550932,0.1680789971286505,2,S1; S8,Krookodiles; Magikarps
Nidoking,Lycanroc-Midnight,2,10,2,1.0,0.2,0.8,4.919349550499538,0.15267175572519084,2,S11; S12,Aggies; Chatots
Weezing,M. Absol,2,10,2,1.0,0.2,0.8,4.919349550499538,0.15267175572519084,2,S2; S3,Goomys; SD Padreigons
Volcarona,Mawile-Mega,2,9,2,1.0,0.2222222222222222,0.7777777777777778,4.924428900898052,0.1523809523809524,2,S17; S19,Charizards; Primarinas
Blissey,Gyarados-Mega,2,9,2,1.0,0.2222222222222222,0.7777777777777778,4.921953095399666,0.152522607471827,2,S12; S18,Chatots; Poggers
Nihilego,Purugly,2,9,2,1.0,0.2222222222222222,0.7777777777777778,4.670669315550932,0.1680789971286505,2,S1; S2,Patrats
Roserade,Linoone,2,9,2,1.0,0.2222222222222222,0.7777777777777778,4.670669315550932,0.1680789971286505,2,S1; S3,Lanturns; Poliwags
