pokemon_a,pokemon_b,relationship_type,co_drafts,same_season_drafts,expected_co_drafts_season_random,observed_minus_expected,observed_expected_ratio,chemistry_z,chemistry_p,chemistry_q,conditional_teammate_rate,a_draft_seasons,b_draft_seasons,min_draft_seasons,meta_expected_same_seasons,meta_z,meta_p,meta_q,distinct_team_names,dominant_team_share,pair_era_count,active_era_count,first_pair_season,last_pair_season,pair_seasons,pair_team_names,pair_rosters,sidekick_score
Tapu_Koko,Tornadus-Therian,same-era non-teammates,0,14,1.0680985192614794,-1.0680985192614794,0.0,-1.0753219077263427,0.8588846844332954,0.8588846844332954,0.0,16,14,14,11.2,3.329164059239698,0.003095975232198142,0.9505920699462418,0,0.0,0,4,,,,,,0.0
Clefable,Mew,same-era non-teammates,0,13,1.0073374486008424,-1.0073374486008424,0.0,-1.0450879037557275,0.852008827923623,0.8520285191268753,0.0,15,13,13,9.75,3.4295633485773025,0.0013544891640866871,0.9505920699462418,0,0.0,0,4,,,,,,0.0
Hydreigon,Zygarde,same-era non-teammates,0,13,1.0074644327278266,-1.0074644327278266,0.0,-1.0451591152902593,0.8520252820238303,0.8520351277018218,0.0,14,16,14,11.2,2.14017689522552,0.060887512899896794,0.9505920699462418,0,0.0,0,4,,,,,,0.0
Rotom-Heat,Tapu_Koko,ordinary,0,13,0.9915178630359478,-0.9915178630359478,0.0,-1.036043302173461,0.8499090293319973,0.8499384936831113,0.0,15,16,15,12.0,1.2583057392117916,0.2487100103199174,0.9505920699462418,0,0.0,0,4,,,,,,0.0
Dragapult,Moltres,same-era non-teammates,0,12,0.9153089693003365,-0.9153089693003365,0.0,-0.9954345337063999,0.8402375151342028,0.8403443315712691,0.0,14,12,12,8.4,3.494894235064305,0.0007223942208462332,0.9505920699462418,0,0.0,0,3,,,,,,0.0
Gliscor,Togekiss,same-era non-teammates,0,12,0.9157213134617715,-0.9157213134617715,0.0,-0.9956772288837384,0.8402965012418186,0.8403741886834285,0.0,13,14,13,9.1,2.8916415390158967,0.007223942208462333,0.9505920699462418,0,0.0,0,4,,,,,,0.0
Empoleon,Zygarde,same-era non-teammates,0,12,0.9158287823754856,-0.9158287823754856,0.0,-0.9957404725214948,0.8403118700181891,0.8403798469872887,0.0,13,16,13,10.4,1.8277470669267506,0.10113519091847264,0.9505920699462418,0,0.0,0,4,,,,,,0.0
Garchomp,Zygarde,same-era non-teammates,0,12,0.9311285548652312,-0.9311285548652312,0.0,-1.0048448379213246,0.8425142151982337,0.8425557469069062,0.0,13,16,13,10.4,1.8277470669267506,0.10113519091847264,0.9505920699462418,0,0.0,0,4,,,,,,0.0
Infernape,Tapu_Koko,same-era non-teammates,0,12,0.9156796341221217,-0.9156796341221217,0.0,-0.9956526983816957,0.8402905398473115,0.8403741886834285,0.0,13,16,13,10.4,1.8277470669267506,0.10113519091847264,0.9505920699462418,0,0.0,0,4,,,,,,0.0
Rotom-Wash,Tapu_Koko,same-era non-teammates,0,12,0.9153089693003365,-0.9153089693003365,0.0,-0.9954345337063999,0.8402375151342028,0.8403443315712691,0.0,13,16,13,10.4,1.8277470669267506,0.10113519091847264,0.9505920699462418,0,0.0,0,4,,,,,,0.0
Shaymin,Zygarde,same-era non-teammates,0,12,0.9311469724103663,-0.9311469724103663,0.0,-1.0048555820364264,0.8425168023502596,0.8425557469069062,0.0,13,16,13,10.4,1.8277470669267506,0.10113519091847264,0.9505920699462418,0,0.0,0,4,,,,,,0.0
Arcanine,Haxorus,same-era non-teammates,0,11,0.8551018978920093,-0.8551018978920093,0.0,-0.9630323188843544,0.8322343476785339,0.8323593857771381,0.0,11,13,11,7.15,3.536138219056702,0.00046439628482972134,0.9505920699462418,0,0.0,0,3,,,,,,0.0
Jirachi,Mienshao,same-era non-teammates,0,11,0.8393854355991761,-0.8393854355991761,0.0,-0.9532725298089675,0.8297739969890545,0.8300166457182714,0.0,14,12,12,8.4,2.5240902808797756,0.018059855521155826,0.9505920699462418,0,0.0,0,4,,,,,,0.0
